No.	jv_index	Start nodeID	End nodeID	Start Point (Lat, Long)	End Point(Lat, Long)	Comment
1	3674	382582	382622	(3119781, 12147758)	(3119679, 12147707)	3 Nodes
2	3862	385076	1721504	(3123469, 12151116)	(3123335, 12150893)	7 Nodes
3	3862	385076	1721562	(3123469, 12151116)	(3123403, 12150917)	6 Nodes
4	3862	385076	1721513	(3123469, 12151116)	(3123446, 12151087)	7 Nodes
5	3862	385076	385073	(3123469, 12151116)	(3123673, 12150879)	4 Nodes
#6	3548	381437	1714102	(3114363, 12141502)	(3114432, 12141570)	3 Nodes
7	3548	381437	381435	(3114363, 12141502)	(3114670, 12141813)	3 Nodes
8	3558	381627	381659	(3114559, 12147272)	(3114728, 12148492)	3 Nodes
9	3563	381643	1717036	(3114718, 12148259)	(3114559, 12147147)	4 Nodes
#10	3563	381643	381645	(3114718, 12148259)	(3114544, 12147096)	3 Nodes
11	3578	382016	382107	(3118532, 12132779)	(3118832, 12132333)	3 Nodes
#12	3578	382016	382052	(3118532, 12132779)	(3118841, 12132779)	3 Nodes
13	3578	382016	9425618	(3118532, 12132779)	(3118940, 12132736)	3 Nodes
14	3580	382023	5389455	(3120019, 12131540)	(3119830, 12131819)	3 Nodes
15	3580	382023	382025	(3120019, 12131540)	(3119780, 12131857)	3 Nodes
16	3580	382023	5389446	(3120019, 12131540)	(3119767, 12132512)	3 Nodes
17	3580	382023	382035	(3120019, 12131540)	(3119999, 12132238)	3 Nodes
#18	3611	382149	382072	(3118517, 12135814)	(3118735, 12135699)	8 Nodes
#19	3611	382149	382157	(3118517, 12135814)	(3118596, 12135757)	5 Nodes
20	3611	382149	1712495	(3118517, 12135814)	(3118618, 12135694)	4 Nodes
21	3611	382149	5388825	(3118517, 12135814)	(3118635, 12135699)	4 Nodes
22	3611	382149	1712503	(3118517, 12135814)	(3118701, 12135980)	4 Nodes
23	3625	382271	1714408	(3115139, 12140731)	(3115923, 12140415)	3 Nodes
24	3644	382407	382409	(3120347, 12140839)	(3120701, 12141201)	3 Nodes
25	3644	382407	382433	(3120347, 12140839)	(3120478, 12141199)	3 Nodes
26	3860	385072	5408923	(3123682, 12150877)	(3123901, 12150743)	4 Nodes
27	3860	385072	1721557	(3123682, 12150877)	(3123525, 12150894)	7 Nodes
28	3860	385072	385069	(3123682, 12150877)	(3123650, 12150753)	4 Nodes
29	3897	385325	385372	(3123319, 12156788)	(3123602, 12156664)	4 Nodes
30	3897	385325	385327	(3123319, 12156788)	(3123664, 12156650)	3 Nodes
31	3703	382751	382749	(3116592, 12158759)	(3116840, 12158262)	3 Nodes
32	3703	382751	382758	(3116592, 12158759)	(3117069, 12158945)	3 Nodes
33	3718	382825	382805	(3121130, 12158207)	(3121283, 12157402)	4 Nodes
34	3718	382825	382823	(3121130, 12158207)	(3120679, 12157072)	3 Nodes
35	3732	383334	105056	(3122381, 12135031)	(3122363, 12134781)	3 Nodes
#36	3732	383334	105113	(3122381, 12135031)	(3122376, 12134776)	4 Nodes
37	3758	384426	384409	(3124167, 12141925)	(3124236, 12141861)	6 Nodes
38	3758	384426	384427	(3124167, 12141925)	(3124186, 12142000)	4 Nodes
39	3777	384703	384674	(3127632, 12139810)	(3127962, 12140019)	3 Nodes
40	3777	384703	1726566	(3127632, 12139810)	(3127735, 12139878)	3 Nodes
41	3777	384703	5409515	(3127632, 12139810)	(3127846, 12139960)	3 Nodes
42	3922	385452	1737110	(3136417, 12149652)	(3136052, 12149793)	3 Nodes
#43	3922	385452	385454	(3136417, 12149652)	(3136047, 12149805)	3 Nodes
44	3908	385368	896081	(3124096, 12156356)	(3123810, 12157132)	4 Nodes
#45	3908	385368	385370	(3124096, 12156356)	(3123981, 12156447)	3 Nodes
46	3547	381427	381425	(3114067, 12141192)	(3114401, 12141062)	3 Nodes
47	3547	381427	1714129	(3114067, 12141192)	(3114283, 12141081)	3 Nodes
48	3594	382074	382157	(3118720, 12135648)	(3118596, 12135757)	5 Nodes
49	3594	382074	1712495	(3118720, 12135648)	(3118618, 12135694)	4 Nodes
50	3594	382074	5388825	(3118720, 12135648)	(3118635, 12135699)	4 Nodes
51	3594	382074	382115	(3118720, 12135648)	(3118789, 12135784)	5 Nodes
52	3615	382194	382467	(3118298, 12139444)	(3118605, 12139312)	3 Nodes
53	3615	382194	382465	(3118298, 12139444)	(3118611, 12139332)	3 Nodes
54	3634	382341	382079	(3118636, 12136703)	(3118791, 12135614)	4 Nodes
55	3634	382341	382343	(3118636, 12136703)	(3118574, 12136035)	3 Nodes
56	3639	382368	382367	(3118511, 12136303)	(3118491, 12136211)	3 Nodes
57	3649	382425	382360	(3120062, 12140136)	(3119555, 12138997)	3 Nodes
58	3660	382505	1717590	(3117524, 12147982)	(3117212, 12148150)	3 Nodes
59	3701	382740	1720788	(3116221, 12155734)	(3116019, 12154756)	4 Nodes
60	3710	382791	382793	(3117263, 12159738)	(3117061, 12158837)	3 Nodes
1	3817	384897	385004	(3128124, 12148287)	(3128758, 12148454)	3 Nodes,
#2	9763	1721584	1721630	(3123556, 12152221)	(3123684, 12152155)	3 Nodes,
3	3912	385385	385383	(3136500, 12149634)	(3137197, 12149317)	3 Nodes,
4	1314	105317	1734731	(3135341, 12142721)	(3135311, 12142433)	3 Nodes,
5	1290	105138	105140	(3125861, 12135640)	(3125428, 12135414)	3 Nodes,
