No.	jv_index	Start nodeID	End nodeID	Start Point (Lat, Long)	End Point(Lat, Long)	Comment
1	3674	382582	382622	(3119781, 12147758)	(3119679, 12147707)	3 Nodes
2	3862	385076	1721504	(3123469, 12151116)	(3123335, 12150893)	7 Nodes
3	3862	385076	1721562	(3123469, 12151116)	(3123403, 12150917)	6 Nodes
4	3862	385076	1721513	(3123469, 12151116)	(3123446, 12151087)	7 Nodes
5	3862	385076	385073	(3123469, 12151116)	(3123673, 12150879)	4 Nodes
6	3509	379624	886401	(3128691, 12065450)	(3128205, 12065353)	3 Nodes
7	3509	379624	379576	(3128691, 12065450)	(3128432, 12065324)	3 Nodes
8	3509	379624	379574	(3128691, 12065450)	(3128313, 12065362)	3 Nodes
9	3517	379921	379964	(3133856, 12086954)	(3133554, 12087136)	4 Nodes
10	3517	379921	379960	(3133856, 12086954)	(3133717, 12087597)	5 Nodes
11	3578	382016	382107	(3118532, 12132779)	(3118832, 12132333)	3 Nodes
12	3578	382016	382052	(3118532, 12132779)	(3118841, 12132779)	3 Nodes
13	3578	382016	9425618	(3118532, 12132779)	(3118940, 12132736)	3 Nodes
14	3580	382023	5389455	(3120019, 12131540)	(3119830, 12131819)	3 Nodes
15	3580	382023	382025	(3120019, 12131540)	(3119780, 12131857)	3 Nodes
16	3580	382023	5389446	(3120019, 12131540)	(3119767, 12132512)	3 Nodes
17	3580	382023	382035	(3120019, 12131540)	(3119999, 12132238)	3 Nodes
18	3611	382149	382072	(3118517, 12135814)	(3118735, 12135699)	8 Nodes
19	3611	382149	382157	(3118517, 12135814)	(3118596, 12135757)	5 Nodes
20	3611	382149	1712495	(3118517, 12135814)	(3118618, 12135694)	4 Nodes
21	3611	382149	5388825	(3118517, 12135814)	(3118635, 12135699)	4 Nodes
22	3611	382149	1712503	(3118517, 12135814)	(3118701, 12135980)	4 Nodes
23	3625	382271	1714408	(3115139, 12140731)	(3115923, 12140415)	3 Nodes
24	3644	382407	382409	(3120347, 12140839)	(3120701, 12141201)	3 Nodes
25	3644	382407	382433	(3120347, 12140839)	(3120478, 12141199)	3 Nodes
